bed,bath,acre_lot,city,house_size,price
3.0,3.0,0.06,Bridgeport,2208.0,289900.0
5.0,5.0,0.86,Barrington,6402.0,1995000.0
3.0,2.0,0.1,Milford,1350.0,420000.0
2.0,1.0,0.4,New Fairfield,1040.0,329000.0
1.0,1.0,0.39,Woonsocket,6880.0,299900.0
2.0,2.0,4.66,Meriden,1488.0,440000.0
3.0,2.0,0.18,West Haven,988.0,195000.0
4.0,4.0,1.0,Stamford,3728.0,1449000.0
6.0,3.0,0.08,East Providence,4888.0,449900.0
4.0,4.0,39.75,Newfields,3996.0,949000.0
4.0,3.0,0.51,Newington,3320.0,415000.0
4.0,4.0,31.08,Sharon,3387.0,2850000.0
5.0,2.0,0.17,Providence,4165.0,449000.0
4.0,2.0,0.11,Middletown,1473.0,229900.0
3.0,1.0,0.37,Ledyard,960.0,240000.0
4.0,4.0,1.37,Naugatuck,3504.0,529000.0
4.0,5.0,2.03,Granby,3992.0,729900.0
6.0,7.0,1.18,East Dennis,4863.0,3995000.0
6.0,3.0,0.98,Chatham,2794.0,2995000.0
3.0,1.0,0.16,West Haven,1124.0,299899.0
4.0,3.0,2.02,Westport,3193.0,1295000.0
5.0,4.0,4.96,New Milford,4358.0,899000.0
3.0,1.0,0.23,Hyannis,1400.0,499000.0
4.0,3.0,0.84,Newtown,2150.0,525000.0
4.0,4.0,1.54,Westport,3818.0,2249000.0
3.0,1.0,0.17,Hillsborough,1000.0,400000.0
3.0,2.0,0.15,New Bedford,2729.0,379900.0
3.0,2.0,0.15,Northbridge,1641.0,479000.0
3.0,3.0,0.8,Mattapoisett,1829.0,2600000.0
3.0,1.0,0.63,Wrentham,1198.0,499500.0
4.0,2.0,27.13,Winchester,2033.0,680000.0
3.0,1.0,0.13,Hartford,1268.0,200000.0
3.0,2.0,0.17,Waterbury,1305.0,184900.0
3.0,3.0,0.14,Newport,1184.0,1299000.0
4.0,2.0,0.09,Bridgeport,1483.0,285000.0
3.0,3.0,0.23,Brockton,2073.0,549900.0
6.0,5.0,0.69,Lee,7000.0,2500000.0
3.0,3.0,0.16,Newport,1400.0,454000.0
3.0,2.0,0.23,Providence,2023.0,1095000.0
3.0,1.0,0.8,Easthampton,1040.0,309000.0
3.0,3.0,3.96,Stafford,2118.0,520000.0
3.0,2.0,0.28,Meriden,1238.0,229900.0
6.0,8.0,2.0,Westport,7022.0,5999000.0
5.0,3.0,1.18,Essex,2736.0,694500.0
3.0,4.0,0.28,East Lyme,2010.0,727000.0
4.0,2.0,0.32,Madison,1680.0,300000.0
4.0,3.0,5.01,Dunbarton,2740.0,500000.0
3.0,3.0,0.3,New Haven,1949.0,449000.0
2.0,1.0,0.09,Stratford,952.0,149000.0
3.0,2.0,0.14,Hamden,1296.0,264900.0
3.0,2.0,0.69,Watertown,1536.0,349900.0
4.0,4.0,0.28,Clinton,4090.0,699900.0
4.0,2.0,0.11,Pawtucket,4570.0,187000.0
3.0,2.0,1.49,North Smithfield,1977.0,550000.0
4.0,3.0,1.82,Tolland,2664.0,399900.0
